				NUM1				NUM1 				NUM2				 NUM2
FIXGW01P	c0507605689606e0	c0507605689606e1	c0507605689606e2	c0507605689606e3
FIXGW02B	c0507605689606e4	c0507605689606e5	c0507605689606e6	c0507605689606e7
TEMP-1		c0507605689606ea	c0507605689606eb	c0507605689606e8	c0507605689606e9
TEMP-2		c0507605689606ee	c0507605689606ef	c0507605689606ec	c0507605689606ed
TEMP-3		c0507605689606f2	c0507605689606f3	c0507605689606f0	c0507605689606f1
TEMP-4		c0507605689606f6	c0507605689606f7	c0507605689606f4	c0507605689606f5
TEMP-5		c0507605689606fa	c0507605689606fb	c0507605689606f8	c0507605689606f9
TEMP-6		c0507605689606fe	c0507605689606ff	c0507605689606fc	c0507605689606fd
TEMP-7		c050760568960702	c050760568960703	c050760568960700	c050760568960701
TEMP-8		c050760568960706	c050760568960707	c050760568960704	c050760568960705
TS1			c050760568960708	c050760568960709	c05076056896070a	c05076056896070b
NIM_Server	c05076056896070c	c05076056896070d	c05076056896070e	c05076056896070f
MDS1		c050760568960710	c050760568960711	c050760568960712	c050760568960713
LOG1		c050760568960716	c050760568960717	c050760568960714	c050760568960715
DAR1-1		c050760568960718	c050760568960719	c05076056896071a	c05076056896071b
DAR1-2		c05076056896071c	c05076056896071d	c05076056896071e	c05076056896071f
DAP1-1		c050760568960720	c050760568960721	c050760568960722	c050760568960723
DAP1-2		c050760568960724	c050760568960725	c050760568960726	c050760568960727
DAP1-3		c050760568960728	c050760568960729	c05076056896072a	c05076056896072b
DAP1-4		c05076056896072c	c05076056896072d	c05076056896072e	c05076056896072f
DAP1-5		c050760568960730	c050760568960731	c050760568960732	c050760568960733
DAP1-6		c050760568960734	c050760568960735	c050760568960736	c050760568960737
DAP1-7		c050760568960738	c050760568960739	c05076056896073a	c05076056896073b
DAP1-8		c05076056896073c	c05076056896073d	c05076056896073e	c05076056896073f
DAP1-9		c050760568960740	c050760568960741	c050760568960742	c050760568960743
DAP1-10		c050760568960744	c050760568960745	c050760568960746	c050760568960747
DAP1-11		c050760568960748	c050760568960749	c05076056896074a	c05076056896074b
DAP1-12		c05076056896074c	c05076056896074d	c05076056896074e	c05076056896074f
DAP1-13		c050760568960750	c050760568960751	c050760568960752	c050760568960753
DAP1-14		c050760568960754	c050760568960755	c050760568960756	c050760568960757
DAP1-15		c050760568960758	c050760568960759	c05076056896075a	c05076056896075b
DAP1-16		c05076056896075c	c05076056896075d	c05076056896075e	c05076056896075f
DAP1-17		c050760568960760	c050760568960761	c050760568960762	c050760568960763
DAP1-18		c050760568960764	c050760568960765	c050760568960766	c050760568960767
DAP1-19		c050760568960768	c050760568960769	c05076056896076a	c05076056896076b
DAP1-20		c05076056896076c	c05076056896076d	c05076056896076e	c05076056896076f
FIXGW01B	c050760568960770	c050760568960771	c050760568960772	c050760568960773
FIXGW02P	c050760568960774	c050760568960775	c050760568960776	c050760568960777
TS2			c050760568960778	c050760568960779	c05076056896077a	c05076056896077b
WORKING		c05076056896077c	c05076056896077d	c05076056896077e	c05076056896077f
MDS2		c050760568960780	c050760568960781	c050760568960782	c050760568960783
LOG2		c050760568960786	c050760568960787	c050760568960784	c050760568960785
DAR2-1		c050760568960788	c050760568960789	c05076056896078a	c05076056896078b
DAR2-2		c05076056896078c	c05076056896078d	c05076056896078e	c05076056896078f
DAP2-1		c050760568960790	c050760568960791	c050760568960792	c050760568960793
DAP2-2		c050760568960794	c050760568960795	c050760568960796	c050760568960797
DAP2-3		c050760568960798	c050760568960799	c05076056896079a	c05076056896079b
DAP2-4		c05076056896079c	c05076056896079d	c05076056896079e	c05076056896079f
DAP2-5		c0507605689607a0	c0507605689607a1	c0507605689607a2	c0507605689607a3
DAP2-6		c0507605689607a4	c0507605689607a5	c0507605689607a6	c0507605689607a7
DAP2-7		c0507605689607a8	c0507605689607a9	c0507605689607aa	c0507605689607ab
DAP2-8		c0507605689607ac	c0507605689607ad	c0507605689607ae	c0507605689607af
DAP2-9		c0507605689607b0	c0507605689607b1	c0507605689607b2	c0507605689607b3
DAP2-10		c0507605689607b4	c0507605689607b5	c0507605689607b6	c0507605689607b7
DAP2-11		c0507605689607b8	c0507605689607b9	c0507605689607ba	c0507605689607bb
DAP2-12		c0507605689607bc	c0507605689607bd	c0507605689607be	c0507605689607bf
DAP2-13		c0507605689607c0	c0507605689607c1	c0507605689607c2	c0507605689607c3
DAP2-14		c0507605689607c4	c0507605689607c5	c0507605689607c6	c0507605689607c7
DAP2-15		c0507605689607c8	c0507605689607c9	c0507605689607ca	c0507605689607cb
DAP2-16		c0507605689607cc	c0507605689607cd	c0507605689607ce	c0507605689607cf
DAP2-17		c0507605689607d0	c0507605689607d1	c0507605689607d2	c0507605689607d3
DAP2-18		c0507605689607d4	c0507605689607d5	c0507605689607d6	c0507605689607d7
DAP2-19		c0507605689607d8	c0507605689607d9	c0507605689607da	c0507605689607db
DAP2-20		c0507605689607dc	c0507605689607dd	c0507605689607de	c0507605689607df
